Time,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64
28.97,38,58,44,344,1214,1494,1328,1063,871,787,659,584,485,383,323,277,230,243,229,221,202,167,147,118,96,69,45,23,6,4,7,8,7,5,14,11,18,19,13,11,16,6,13,15,7,15,10,11,6,12,8,9,8,5,3,7,10,10,7,8,12,13,10,4
28.975,25,36,64,236,1189,1510,1457,998,872,827,718,591,491,399,323,250,239,245,218,220,210,171,146,128,83,64,29,19,6,3,5,7,9,6,5,11,16,19,13,13,15,12,10,9,13,9,11,11,10,11,9,8,7,8,7,4,5,8,12,11,8,11,12,10
28.98,46,46,60,187,865,1787,1535,1056,898,821,717,591,479,386,320,285,247,232,208,222,196,173,144,109,86,65,32,15,9,3,5,3,9,8,6,7,11,18,19,16,10,11,17,8,13,10,7,11,7,13,8,10,6,10,7,7,1,11,7,12,10,12,11,3
28.985,23,63,79,281,882,1592,1515,1119,939,855,703,586,468,384,330,280,231,244,224,201,201,159,150,112,93,59,36,19,6,9,2,2,8,7,7,9,7,8,14,20,16,15,11,10,15,11,7,11,10,5,15,7,8,9,10,6,5,7,4,8,11,10,9,15
28.99,34,73,108,335,972,1424,1429,1189,967,798,712,604,485,398,347,267,234,242,234,234,192,177,143,106,90,48,32,14,5,7,7,3,4,7,9,5,11,5,15,18,20,11,14,9,13,11,11,8,4,11,8,11,9,11,9,6,7,7,3,10,8,7,8,10
28.995,35,74,103,450,1009,1500,1276,1078,923,810,742,623,510,448,356,259,229,216,223,206,204,190,153,114,86,63,24,17,8,8,6,4,3,4,10,6,15,4,8,11,18,14,18,12,8,11,14,5,10,8,11,5,10,10,10,10,6,9,4,6,8,7,9,9
29,36,75,126,520,1087,1403,1135,987,915,903,779,644,538,464,367,269,239,209,224,220,187,185,152,120,87,43,30,13,8,7,6,7,3,4,10,7,8,11,6,11,15,9,16,14,12,11,13,4,10,12,5,5,10,10,10,12,10,4,13,3,5,8,5,9
29.005,42,66,196,360,1062,1402,1137,1108,1047,944,790,592,521,437,325,275,226,216,195,208,205,177,139,137,83,68,17,19,10,5,5,7,6,4,3,7,8,4,13,8,7,14,13,9,21,14,9,13,8,6,10,11,7,12,8,9,14,9,4,7,7,6,7,4
29.01,42,57,202,537,947,1313,1113,1028,1046,1023,807,666,526,413,331,263,241,218,215,200,191,185,138,136,81,59,22,16,13,5,1,6,7,7,3,3,8,9,4,15,5,10,12,13,15,17,16,8,14,3,10,10,9,6,12,6,11,11,9,6,9,6,5,4
29.015,23,36,173,477,1118,1228,1067,1054,1054,1003,877,648,548,416,353,284,250,233,194,225,181,173,136,115,87,42,25,14,8,8,4,4,5,5,6,4,6,10,6,10,8,7,15,13,11,20,16,9,13,6,9,9,7,5,7,12,8,7,16,7,7,7,6,4
29.02,15,33,61,415,1075,1447,1215,1093,1040,898,787,670,563,435,356,258,257,237,198,217,179,171,129,128,88,48,24,13,5,7,9,3,2,7,6,6,4,2,9,8,7,11,6,10,14,18,12,18,13,11,8,9,6,10,7,7,12,8,9,12,9,4,11,4
29.025,7,33,73,505,1114,1329,1186,1110,1021,954,752,691,558,444,337,247,230,231,220,204,193,175,137,127,86,55,29,15,4,4,6,6,6,2,9,7,3,5,1,3,9,10,7,10,6,17,15,14,21,12,10,10,9,7,11,9,8,8,10,11,10,8,6,9
29.03,23,34,133,628,933,1341,1198,1041,1068,935,772,679,560,454,295,289,211,228,236,228,183,180,156,108,96,40,32,21,4,3,5,6,3,6,3,10,4,3,6,2,3,7,10,7,9,10,18,12,15,20,12,13,7,13,4,13,4,9,10,9,8,13,7,6
29.035,22,35,243,689,918,1128,1228,1051,1031,908,820,626,626,463,347,286,242,211,251,163,214,136,183,97,84,55,33,27,13,1,5,4,6,6,3,6,6,8,4,1,4,6,6,6,7,7,9,17,14,9,22,20,12,9,7,12,6,12,9,8,6,12,10,7
29.04,31,44,336,753,809,926,1197,1156,1084,982,840,628,647,395,365,235,232,211,218,223,197,158,150,122,60,73,34,39,12,11,4,4,4,6,4,4,6,7,7,4,2,3,6,3,6,7,7,7,13,16,17,16,15,17,13,6,12,8,16,4,8,11,9,7
29.045,40,37,308,568,991,939,1194,1247,1120,977,860,653,549,418,323,252,210,215,192,224,165,171,159,117,80,57,58,22,28,11,8,11,2,6,3,4,8,5,7,7,3,3,1,6,2,8,3,9,9,9,11,16,17,16,23,15,7,8,13,11,8,10,12,5
